search_term	match_term	match_type	category	sources
TP53	TP53	Definite	CLINICALLY ACTIONABLE	CarisMolecularIntelligence|FoundationOneGenes|MskImpact
TP53	TP53	Definite	TUMOR SUPPRESSOR	GO
TP53	TP53	Definite	TRANSCRIPTION FACTOR COMPLEX	GO
TP53	TP53	Definite	DRUG RESISTANCE	GO
TP53	TP53	Definite	HISTONE MODIFICATION	GO
TP53	TP53	Definite	DNA REPAIR	GO
TP53	TP53	Definite	RNA DIRECTED DNA POLYMERASE	GO
TP53	TP53	Definite	TRANSCRIPTION FACTOR BINDING	GO
TP53	TP53	Definite	DRUGGABLE GENOME	HopkinsGroom|HingoraniCasas|RussLampel
